test,year,school,county,city,math,reading,writing,english,science,total
ACT,2013,Franklin H S,Robertson County,Huntsville,NA,NA,NA,21.4,23,22.8
ACT,2013,Hearne H S,Robertson County,Huntsville,NA,NA,NA,14.3,17.8,15.9
ACT,2013,Mumford H S,Robertson County,Huntsville,NA,NA,NA,20.2,20.6,21.3
ACT,2013,Rockwall H S,Rockwall County,Richardson,NA,NA,NA,22.1,23.3,23.4
ACT,2013,Rockwall-Heath H S,Rockwall County,Richardson,NA,NA,NA,21.9,23.1,23.4
ACT,2013,Royse City H S,Rockwall County,Richardson,NA,NA,NA,20.2,21.3,21.4
ACT,2013,Ballinger H S,Runnels County,San Angelo,NA,NA,NA,19.5,20.8,20.6
ACT,2013,Miles H S,Runnels County,San Angelo,NA,NA,NA,19.6,21.1,20.7
ACT,2013,Winters H S,Runnels County,San Angelo,NA,NA,NA,16.6,19.1,19
ACT,2013,Henderson H S,Rusk County,Kilgore,NA,NA,NA,19,20.1,19.9
ACT,2013,Laneville School,Rusk County,Kilgore,18,NA,NA,11.3,13,14
