year,school,city,uil_prnk_sum_prnk,tea_math_prnk
2011,ABILENE,ABILENE,0,0.6046647719013327
2011,ALAMO HEIGHTS,SAN ANTONIO,0.6998050682261124,0.9466221943918723
2011,AMERICAS,EL PASO,0.6858813700918887,0.3070205916445922
2011,ANDERSON,AUSTIN,0.6452241715399548,0.9827211123100901
2011,ANDRESS,EL PASO,0.5632135895293754,0.1463900570084709
2011,ARLINGTON HEIGHTS,FORT WORTH,0.491576162628792,0.6325905551460966
2011,AUSTIN,AUSTIN,0.22994987468671663,0.8884151383449527
2011,AUSTIN,EL PASO,0.6791283764967901,0.22411725226175225
2011,AUSTIN,HOUSTON,0.8458646616541206,0.09290827419871622
2011,BEL AIR,EL PASO,0.4896268448900006,0.1745389664881406
2011,BERKNER,RICHARDSON,0.5039682539682514,0.798448047009105
2011,BOSWELL,FORT WORTH,0.22243107769423548,0.8318407782723318
2011,BOWIE,AUSTIN,0.7052353104984598,0.9650551339346729
2011,BOWIE,EL PASO,0.1567808409913673,0.14573707265903021
2011,BRANDEIS,SAN ANTONIO,0.3911166805903638,0.7851215050557303
2011,BRENNAN,SAN ANTONIO,0.22994987468671663,NaN
2011,BREWER,FORT WORTH,0.19890002784739624,0.4815795887121234
2011,BURBANK,SAN ANTONIO,0.7568922305764307,0.2243031385462409
2011,BURGES,EL PASO,0.7034948482316817,0.567745258510039
2011,CALALLEN,CORPUS CHRISTI,0.929754942912817,0.4684663510089766
2011,CANUTILLO,EL PASO,0.8084099136730591,0.17971201773741763
2011,CARNEGIE VANGUARD,HOUSTON,0.560080757449175,0.9938294948599263
2011,CARROLL,CORPUS CHRISTI,0.3045808966861593,0.5583222135928072
2011,CARTER-RIVERSIDE,FORT WORTH,0.19890002784739624,0.14961432200845964
2011,CASTLEBERRY,FORT WORTH,0.4191033138401542,0.4577883803664291
2011,CENTRAL,SAN ANGELO,0.5407964355332745,0.7261062146079407
2011,CHAPEL HILL,MT PLEASANT,0.0985797827903091,0.7092082213940545
2011,CHAPIN,EL PASO,0.9596908939013975,0.5828589523712314
2011,CHURCHILL,SAN ANTONIO,0.8384851016429823,0.8724439747724619
2011,CLARK,SAN ANTONIO,0.461292119186854,0.8697889146823955
2011,CLEAR LAKE,HOUSTON,0.9314257866889238,0.9792634288891238
2011,COOPER,ABILENE,0.1675020885547201,0.6865225714641331
2011,CORONADO,EL PASO,0.810707323865206,0.8436730619907662
2011,CORONADO,LUBBOCK,0.9126287942077224,0.702515688217271
2011,CROCKETT,AUSTIN,0.7568922305764307,0.2032768188873672
2011,CYPRESS FALLS,HOUSTON,0.8305485937064748,0.875997129974281
2011,DAVIS,HOUSTON,0.9649818991924024,0.13118255274468466
2011,DEL VALLE,EL PASO,0.8762183235867277,0.10376011486790182
2011,DUNBAR,FORT WORTH,0.491576162628792,0.13051960012568792
2011,EAST CENTRAL,SAN ANTONIO,0.3700222779170138,0.4289237512224189
2011,EASTERN HILLS,FORT WORTH,0.11194653299916457,0.07712834675768762
2011,EASTWOOD,EL PASO,0.7295321637426806,0.26547451596214605
2011,ECONOMEDES,EDINBURG,0.1567808409913673,0.3780565493871538
2011,EDINBURG,EDINBURG,0.3996101364522405,0.5172091620476169
2011,EDINBURG NORTH,EDINBURG,0.9226538568643633,0.4386443500307905
2011,EDISON,SAN ANTONIO,0.1339459760512392,0.17330724781385604
2011,EL PASO,EL PASO,0.4191033138401542,0.3399088699543312
2011,ESTACADO,LUBBOCK,0.22994987468671663,0.04050021194589064
2011,FLOUR BLUFF,CORPUS CHRISTI,0.8791423001949148,0.7498616667498397
2011,FRANKLIN,EL PASO,0.6858813700918887,0.760799418438197
2011,GRAPE CREEK,SAN ANGELO,0.22243107769423548,0.47195052244181357
2011,GREENWOOD,MIDLAND,0.5768588137009149,0.7431218626595638
